QID,label,from,starting label,target,depth
Q132364,communication protocol,Q3003763,Cross File Transfer,1,1
Q974922,Web Map Service,Q3003763,Cross File Transfer,0,2
Q165194,application programming interface,Q3003763,Cross File Transfer,0,2
Q4897819,role,Q852835,customer,1,1
Q1707847,role,Q852835,customer,1,2
Q7124279,page boy,Q852835,customer,0,2
Q636497,stock character,Q852835,customer,0,2
Q46034607,interviewer,Q852835,customer,1,2
Q11424100,status,Q852835,customer,1,2
Q54287532,child role,Q852835,customer,0,3
Q6313217,time standard,Q1536,Coordinated Universal Time,1,1
Q2558763,Earth time,Q1536,Coordinated Universal Time,1,2
Q462926,dynamical time,Q1536,Coordinated Universal Time,0,2
Q219919,local mean time,Q1536,Coordinated Universal Time,0,2
Q849275,civil time,Q1536,Coordinated Universal Time,1,2
Q12143,time zone,Q1536,Coordinated Universal Time,1,2
Q4127125,time in the United Kingdom,Q1536,Coordinated Universal Time,0,3
Q17280916,seasonal time zone,Q1536,Coordinated Universal Time,0,3
Q17272692,IANA time zone,Q1536,Coordinated Universal Time,0,3
Q36669,daylight saving time,Q1536,Coordinated Universal Time,0,3
Q1777301,standard time,Q1536,Coordinated Universal Time,1,3
Q17272482,time zone named for a UTC offset,Q1536,Coordinated Universal Time,1,3
Q10860882,winter time,Q1536,Coordinated Universal Time,0,3
Q4830453,business,Q3109006,GlobeCast World TV,1,1
Q6881511,enterprise,Q3109006,GlobeCast World TV,1,1
Q2169973,service provider,Q3109006,GlobeCast World TV,1,1
Q7696092,telecommunications service provider,Q3109006,GlobeCast World TV,1,2
Q112046,transmission system operator,Q3109006,GlobeCast World TV,0,2
Q59545,labour hire,Q3109006,GlobeCast World TV,0,2
Q921773,engineering office,Q3109006,GlobeCast World TV,0,2
Q55645123,health care provider,Q3109006,GlobeCast World TV,0,2
Q11371,Internet service provider,Q3109006,GlobeCast World TV,0,2
Q1641122,online service provider,Q3109006,GlobeCast World TV,1,2
Q7001190,network service provider,Q3109006,GlobeCast World TV,1,2
Q352450,agency,Q3109006,GlobeCast World TV,1,2
Q1956140,payment service provider,Q3109006,GlobeCast World TV,0,2
Q1266169,telephone company,Q3109006,GlobeCast World TV,0,2
Q1341230,energy agency,Q3109006,GlobeCast World TV,0,3
Q3839507,functional programming language,Q850661,XQuery,1,1
Q845739,query language,Q850661,XQuery,1,1
Q17092833,Jaql,Q850661,XQuery,1,2
Q47607,Structured Query Language,Q850661,XQuery,1,2
Q60551191,graph query language,Q850661,XQuery,1,2
Q7263491,information retrieval query language,Q850661,XQuery,1,2
Q4048871,SQL-92,Q850661,XQuery,1,3
Q5854085,FSQL,Q850661,XQuery,1,3
Q28941000,SQL:2016,Q850661,XQuery,1,3
Q4048878,SQL:1999,Q850661,XQuery,1,3
Q28163355,SQL-86,Q850661,XQuery,1,3
Q7392729,SQL:2006,Q850661,XQuery,1,3
Q6138701,RDF query language,Q850661,XQuery,1,3
Q2025506,OpenSQL,Q850661,XQuery,1,3
Q4048881,SQL:2003,Q850661,XQuery,1,3
Q28163046,SQL-89,Q850661,XQuery,1,3
Q2063791,SQL:2008,Q850661,XQuery,1,3
Q3459982,SQL:2011,Q850661,XQuery,1,3
Q235557,file format,Q2053,HTML5,1,1
Q37045,markup language,Q2053,HTML5,1,1
Q2661442,W3C Recommendation,Q2053,HTML5,1,1
Q5531642,general-purpose markup language,Q2053,HTML5,1,2
Q4018860,well-known text representation of geometry,Q2053,HTML5,0,2
Q7520680,Simple HTML Ontology Extensions,Q2053,HTML5,1,2
Q1758048,Security Assertion Markup Language,Q2053,HTML5,0,2
Q5310,LaTeX,Q2053,HTML5,0,2
Q167772,digital container format,Q2053,HTML5,0,2
Q4052124,user interface markup language,Q2053,HTML5,1,2
Q29644049,S-57 Electronic Navigation Chart,Q2053,HTML5,0,2
Q5426535,Autodesk FLI/FLC,Q2053,HTML5,0,2
Q6786860,mathematical markup language,Q2053,HTML5,0,2
Q61714670,well-known text representation of coordinate reference systems,Q2053,HTML5,0,2
Q8811,HyperText Markup Language,Q2053,HTML5,1,2
Q285972,Mbox,Q2053,HTML5,0,2
Q27915156,RADARSAT-1 CEOS Volume Directory File,Q2053,HTML5,0,2
Q166074,Extensible HyperText Markup Language,Q2053,HTML5,1,2
Q362356,architecture description language,Q2053,HTML5,0,2
Q34305781,Scholarly HTML,Q2053,HTML5,1,3
Q1189978,Semantic HTML,Q2053,HTML5,1,3
Q380153,Dynamic HTML,Q2053,HTML5,1,3
Q387168,C-HTML,Q2053,HTML5,1,3
Q287539,web form,Q2053,HTML5,1,3
Q5448353,File select,Q2053,HTML5,0,4
Q17119191,ripped jeans,Q83363,jeans,1,1
Q3237209,Levi's 501,Q83363,jeans,1,1
Q39908,trousers,Q83363,jeans,1,1
Q3377759,Wide leg jeans,Q83363,jeans,1,1
Q15133790,culottes,Q83363,jeans,0,2
Q18088270,dress trousers,Q83363,jeans,1,2
Q3530132,tobi trousers,Q83363,jeans,1,2
Q1074407,chinos,Q83363,jeans,1,2
Q618998,skinny jeans,Q83363,jeans,1,2
Q7133943,parachute pants,Q83363,jeans,0,2
Q13442814,scholarly article,Q59430415,A3: A Topology Construction Algorithm for Wireless Sensor Networks,1,1
Q31855,research institute,Q422057,Institut national de recherche et de sécurité,1,1
Q1141791,Crown Research Institute,Q422057,Institut national de recherche et de sécurité,0,2
Q20820271,graduate school,Q422057,Institut national de recherche et de sécurité,0,2
Q3726309,state research institution,Q422057,Institut national de recherche et de sécurité,1,2
Q57910923,digital humanities center,Q422057,Institut national de recherche et de sécurité,0,2
Q7315155,research center,Q422057,Institut national de recherche et de sécurité,1,2
Q3405599,electrical phenomenon,Q230187,crosstalk,1,1
Q858318,pyroelectricity,Q230187,crosstalk,0,2
Q17080379,shaft voltage,Q230187,crosstalk,0,2
Q2143661,corrective lens,Q37501,eyeglasses,1,1
Q1065579,costume accessory,Q37501,eyeglasses,1,1
Q5096292,Chicken eyeglasses,Q37501,eyeglasses,0,1
Q2332595,cataract glasses,Q37501,eyeglasses,1,1
Q15978715,smartglasses,Q37501,eyeglasses,1,1
Q575092,Google Glass,Q37501,eyeglasses,1,2
Q12721,monocle,Q37501,eyeglasses,1,2
Q23797,contact lens,Q37501,eyeglasses,0,2
Q244570,pince-nez,Q37501,eyeglasses,1,2
Q2481505,audio codec,Q337594,c+c+c+c+kf60010630s,1,1
Q830840,audio compression,Q337594,c+c+c+c+kf60010630s,1,1
Q20198160,lossy audio coding format,Q337594,c+c+c+c+kf60010630s,1,1
Q379637,Multi-Band Excitation,Q337594,c+c+c+c+kf60010630s,1,2
Q7259827,Pumping,Q337594,c+c+c+c+kf60010630s,1,2
Q1328899,standards organization,Q4007363,ITU Telecommunication Standardization Sector,1,1
Q43229,organization,Q4007363,ITU Telecommunication Standardization Sector,1,1
Q1642895,lineage,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q5055151,caving organization,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q4736565,Alternative trading organization,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q1934969,defense contractor,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q5380419,Enterprises in the Soviet Union,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q5155040,community project,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q7835148,transport standards organization,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q2993760,conseil de fabrique,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q26180917,hiking center,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q1443933,design studio,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q294801,eco-control body,Q4007363,ITU Telecommunication Standardization Sector,0,2
Q1518309,Gesellenverein,Q4007363,ITU Telecommunication Standardization Sector,0,2
