qid,label
Q1017587,Business Objects
Q1026962,digital humanities
Q10290274,Gmsk
Q10322548,MQTT
Q104534,digital subscriber line
Q1046079,1G
Q104851,firmware
Q1052698,jitter
Q1054787,Nippon Telegraph and Telephone
Q105674,running
Q1057712,FTPS
Q1060131,Challenge-Handshake Authentication Protocol
Q1060165,Riot Games
Q1061166,data mart
Q1071690,chief security officer
Q1071978,Réseau Ferré de France
Q1073235,China Communications Standards Association
Q1077480,hypervisor
Q1082861,long wave
Q1083894,digital terrestrial television
Q1091139,Enhanced Interior Gateway Routing Protocol
Q11020,pool
Q11103,Internet Protocol version 4
Q11155,Border Gateway Protocol
Q1115586,National Commission on Informatics and Liberty
Q11163,User Datagram Protocol
Q1125400,Confluence
Q1127220,Conseil supérieur de l'audiovisuel
Q11273,Moving Picture Experts Group
Q11278,Hyper-V
Q1128649,H.323
Q11288,web server
Q11306265,noise
Q1135046,secure copy protocol
Q1135914,event-driven programming
Q11368,Unix
Q1138866,International Commission on Non-Ionizing Radiation Protection
Q1139465,Signalling System No. 7
Q1139866,Dofus
Q11422650,Kokusai Denshin Denwa
Q1142376,LIFO
Q1146165,Extensible Authentication Protocol
Q1146208,Institut National de Recherche en Informatique et en Automatique
Q1150497,burn down chart
Q1152227,pharmacogenomics
Q115637,Mobile Station Roaming Number
Q11660,artificial intelligence
Q11661,information technology
Q1166273,darknet
Q118398,arXiv
Q1186952,interactive media
Q11885120,Vorbis
Q1193354,IEEE 802.11n
Q1199743,gradient descent
Q1200183,Fiber to the home
Q1201019,proof of concept
Q12014035,hiking
Q12130,Brittany
Q121416,discrete mathematics
Q12203,QR code
Q1224345,differentiated services
Q1224715,dblp computer science bibliography
Q1224749,Digital Enhanced Cordless Telecommunications
Q1240788,supervisor
Q1254596,software as a service
Q1268005,Post Office Protocol
Q12725,electricity
Q1273376,E.Leclerc
Q1276130,extract  transform  load
Q128831,Federal Communications Commission
Q1288390,Label Distribution Protocol
Q129337,TGV
Q131164,Web 2.0
Q131476,graph theory
Q131566,Institute of Electrical and Electronics Engineers
Q13162,Internet Control Message Protocol
Q133139,electromagnetic spectrum
Q133215,casino
Q133454,high-definition television
Q133973,WiMAX
Q1340643,master builder
Q134471,Asynchronous JavaScript and XML
Q1347627,Global Certification Forum
Q1347847,Central Equipment Identity Register
Q135005,phishing
Q135035,Data Encryption Standard
Q1359246,Jira
Q1363408,5G
Q13646,SNCF
Q1369503,Estimated Time of Arrival
Q1377194,European Union Agency for Cybersecurity
Q1394796,false acceptance rate
Q1411027,Telecommunication Technology Committee
Q14149,Internet Group Management Protocol
Q1425095,Ogg Tarkin
Q1427899,rack unit
Q1431486,Orange
Q1437394,formal concept analysis
Q146368,polyvinyl chloride
Q14644,spyware
Q146768,middleware
Q1474517,French National Institute of Health and Medical Research
Q147638,cognitive science
Q1481411,IT service management
Q1484375,PyCharm
Q1487,hacker
Q14922,table football
Q1500419,Open Mobile Alliance
Q15028,International Organization for Standardization
Q1502887,geodetic reference system
Q1505049,S/MIME
Q15171,Address Resolution Protocol
Q152763,lithium compounds
Q1536,Coordinated Universal Time
Q1537683,Google File System
Q15587490,construction client
Q15618663,product backlog
Q15618669,product owner
Q15618675,scrum master
Q156616,The National Institute of Statistics and Economic Studies
Q1568118,personal information manager
Q1572577,product life-cycle management
Q1575,Internet Explorer
Q159144,Europa-Park
Q15995590,Wireless Broadband Alliance
Q159992,surfing
Q16001547,Access stratum
Q160453,Simple Mail Transfer Protocol
Q160470,Telnet
Q161410,peer-to-peer
Q161618,asymmetric digital subscriber line
Q163393,Post Office Protocol 3
Q16340,XPath
Q1636958,Xiaomi
Q1650302,RJ45
Q166074,Extensible HyperText Markup Language
Q166142,application
Q1665102,Institut national de l'information géographique et forestière
Q166936,Internet Message Access Protocol
Q167676,sensor
Q16820462,Borderlands
Q168210,Internet forum
Q168403,myopia
Q16876602,Cloud Security Alliance
Q169411,Unified Modeling Language
Q17005322,base transceiver station
Q17054505,Google Cloud Platform
Q17079392,TSDSI
Q171,wiki
Q171045,Open Virtualization Format
Q17130715,Slack
Q171545,Belfort
Q171819,BlackBerry
Q173431,CMOS
Q17370651,Orange cloud for business
Q174077,flash memory
Q174320,oscilloscope
Q1750812,ergonomics
Q1752554,Telecommunications Industry Association
Q175751,quantum tunneling
Q176165,database management system
Q177234,mainframe computer
Q177518,IPTV
Q177765,biometrics
Q1777840,xajax
Q178051,Portable Network Graphics
Q178127,push-to-talk
Q178562,Digital Video Broadcasting
Q179465,polyphony
Q180,Wikimedia Foundation
Q180204,shampoo
Q180704,Iron Man
Q1810071,A/B testing
Q181156,software design pattern
Q18211976,nickel-cadmium
Q183169,Jakarta Server Pages
Q184748,codec
Q1847641,human facial hair
Q185796,NTSC
Q186224,Wireless Application Protocol
Q18822,Global Positioning System
Q188273,Ubisoft
Q18833,Microsoft SharePoint
Q188816,Lightweight Directory Access Protocol
Q189223,Turing test
Q189436,speech recognition
Q189447,risk management
Q189620,SOAP
Q18979,Kanban
Q190746,Advanced Encryption Standard
Q191018,Session Initiation Protocol
Q191342,LAMP
Q191895,RS-232
Q192060,knowledge management
Q1933140,carbon dioxide equivalent
Q193321,Java Virtual Machine
Q193424,web service
Q193858,International Electrotechnical Commission
Q193902,Galileo
Q193933,dioptre
Q195,chocolate
Q1958286,web indexing
Q196538,microscope
Q19900,Oracle
Q2,Earth
Q200647,EPOC
Q20072248,Hadoop Distributed Filesystem
Q201664,bracelet
Q202519,DivX
Q202745,neuro-linguistic programming
Q204833,Enhanced Data Rates for GSM Evolution
Q20514253,blockchain
Q2053,HTML5
Q2057931,simulator
Q206047,Asynchronous Transfer Mode
Q2072356,Amazon Elastic Compute Cloud
Q207434,human–computer interaction
Q207472,Toto
Q207580,Routing Information Protocol
Q2078,Scalable Vector Graphics
Q207819,Standard Generalized Markup Language
Q207971,token ring
Q208160,courage
Q2093,Document Object Model
Q209330,Instagram
Q210214,IPsec
Q211171,polychlorinated biphenyl
Q2115,Extensible Markup Language
Q21204,International Phonetic Alphabet
Q212327,Document Type Definition
Q212633,H.264/MPEG-4 AVC
Q214111,packet
Q215179,Point-to-point protocol
Q215536,merchant
Q2192,Graphics Interchange Format
Q2194,Windows Media Audio
Q219763,MPEG-4
Q2199289,Géoportail
Q220499,streaming media
Q221682,semaphore
Q221779,European Conference of Postal and Telecommunications Administrations
Q223127,Logitech
Q223323,root mean square
Q2254396,Viaccess
Q2264109,artificial general intelligence
Q22661306,Kubernetes
Q2269250,kilobit per second
Q22732,Streisand effect
Q2283,Microsoft
Q228327,access network
Q228493,access right
Q228502,access control
Q22907849,Discord
Q229804,3rd Generation Partnership Project
Q230187,crosstalk
Q231136,Encarta
Q233394,code division multiple access
Q23572,Game of Thrones
Q236908,Six Sigma
Q238599,5 Whys
Q2407,C++
Q242506,Frame Relay
Q243,Eiffel Tower
Q243697,geek
Q244030,Diablo III
Q2476929,confidentiality
Q2488884,RJ-11 connectors
Q2493,data compression
Q249998,signal bandwidth
Q251212,internet of things
Q254183,augmented reality
Q2551422,Water damage
Q2551624,IPv6
Q2574811,cause
Q257597,SWIFT
Q2641430,high-density polyethylene
Q264364,Common Gateway Interface
Q268201,Wireless Markup Language
Q270471,virtualization
Q273902,MPEG-2
Q2746070,Canelé
Q2746660,Agile Manifesto
Q276582,binary-coded decimal
Q280413,National Center for Scientific Research
Q280761,Windows Media Video
Q2813,Coca-Cola
Q2826642,Agence française de sécurité sanitaire de l'environnement et du travail
Q2826644,French Food Safety Agency
Q2826678,Agence nationale des fréquences
Q2826680,National Safe Securities Agency
Q28406404,Microsoft Teams
Q2867785,AFNIC
Q287228,ebXML
Q2872789,Autorité de Régulation des Communications Électroniques  des Postes et de la Distribution de la Presse
Q28785,Sacré-Cœur
Q288682,XACML
Q289,television
Q2897746,RJ-48
Q29001086,autonomous system number
Q2905238,BlaBlaCar
Q29120,Apache Hadoop
Q29169143,data scientist
Q2937445,capitalization
Q2944989,Centre commun d'études de télévision et télécommunications
Q29643,Wi-Fi
Q296643,Association of Radio Industries and Businesses
Q2985644,comité technique
Q2994294,GMSK
Q3003763,Cross File Transfer
Q302022,ActiveX
Q30232,agile software development
Q3025536,DevOps
Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC)
Q30299483,Inria Nancy - Grand-Est research centre
Q3059271,EtherCalc
Q30682903,data protection officer
Q309396,keystroke logging
Q309901,open data
Q3105497,gigabit
Q3109006,GlobeCast World TV
Q312,Apple Inc.
Q3122864,Big Tech
Q3153007,distributed artificial intelligence
Q32110,XSLT
Q3214499,LORIA
Q324254,ontology
Q325421,business-to-business
Q325904,breadth-first search
Q333301,Abstract Syntax Notation One
Q3343549,Nordnet
Q334765,hotspot
Q335827,Directorate-General for External Security
Q336284,MPEG-1
Q337535,Steam
Q337594,c+c+c+c+kf60010630s
Q338966,access-control list
Q338978,Access Point Name_Enable
Q338992,WAI-ARIA
Q33959,Nice
Q3407658,tram
Q341,free software
Q344266,Active Server Pages
Q3456896,Renater
Q3477337,Secrétariat général de la défense et de la sécurité nationale
Q3510521,computer security
Q35127,website
Q3517281,Telecom Nancy
Q352455,Adaptive Multi-Rate Wideband
Q35476,AT&T
Q35996,Mazda
Q364,GitHub
Q3702971,personal data
Q37033,World Wide Web Consortium
Q37501,eyeglasses
Q375673,Jakarta Servlet
Q376150,International Telecommunication Union
Q377539,Kernel-based Virtual Machine
Q379626,Advanced Message Queuing Protocol
Q380153,Dynamic HTML
Q38076,McDonald’s
Q381,Ubuntu
Q3816639,Kotlin
Q38695,cooking
Q387168,C-HTML
Q388,Linux
Q39162,open source
Q392500,Agence Nationale de la Recherche
Q392502,Agence nationale de la sécurité des systèmes d'information
Q392516,Agence française de sécurité sanitaire des produits de santé
Q39369,hertz
Q3966,computer hardware
Q4007363,ITU Telecommunication Standardization Sector
Q406655,AirDrop
Q4071928,cyberattack
Q40898,Nancy
Q41609,Domain Name System Security Extensions
Q4173330,University of Lorraine
Q422057,Institut national de recherche et de sécurité
Q42253,Uniform Resource Locator
Q42283,File Transfer Protocol
Q42332,Portable Document Format
Q42378,Universal Serial Bus
Q42490,Asterix
Q42591,mp3
Q428933,STUN
Q431102,Live television
Q431195,IBM Db2
Q431344,ADSL2+
Q432394,assisted GNSS
Q44127,server
Q44395,pascal
Q44484,HTTPS
Q456157,Amazon Web Services
Q457396,ambient intelligence
Q460387,Scrum
Q462,Star Wars
Q46441,Cascading Style Sheets
Q466,World Wide Web
Q467707,software development kit
Q46794,Subversion
Q46904,Global System for Mobile Communications
Q4732409,Alliance for Telecommunications Industry Solutions
Q47607,Structured Query Language
Q4827433,Available Bit Rate
Q483318,Symbian
Q484598,CAPTCHA
Q485,computer virus
Q485643,customer relationship management
Q487343,solid-state drive
Q488244,Windows Embedded Compact
Q49108,Massachusetts Institute of Technology
Q49150,Remote Desktop Protocol
Q4929239,data collection
Q508256,Bastille
Q509404,Alcatel-Lucent
Q513675,pharming
Q515636,FIFO
Q51731363,Point-to-Point Protocol over AAL2
Q51746,Luke Skywalker
Q52,Wikipedia
Q5289,.NET Framework
Q5294,DVD
Q5300,central processing unit
Q53222,Digital Living Network Alliance
Q5324052,ERMES
Q5324680,EXFO
Q5329,decibel
Q5392830,encoder
Q54366,packet analyzer
Q5440256,Federal Information Security Management Act of 2002
Q546739,Layer 2 Tunneling Protocol
Q548319,kouign-amann
Q54837,Semantic Web
Q54871,SPARQL
Q55692,Active Directory
Q5583818,Google Cloud Messaging
Q56315412,eSIM
Q568494,single sign-on
Q570871,email client
Q579473,Numericable
Q58199,instant messaging
Q58435479,Security Risk Analysis
Q59,PHP
Q59430415,A3: A Topology Construction Algorithm for Wireless Sensor Networks
Q6049601,International Conference on Computer Communications
Q614362,Orange Livebox
Q61694,Uniform Resource Identifier
Q622754,Asterisk
Q622993,X.25
Q623338,Web Services Description Language
Q627335,workflow
Q636020,Web Accessibility Initiative
Q643290,RATP
Q646089,Consumer Electronics Show
Q6501125,ground
Q658464,Centrino
Q6588,Périgueux
Q66175,telex
Q678615,CompactFlash
Q68,computer
Q680268,World Radiocommunication Conference
Q688702,door-to-door
Q691593,Common Object Request Broker Architecture
Q692033,digital subscriber line access multiplexer
Q7096061,Open Grid Forum
Q718,chess
Q721869,Reverse Address Resolution Protocol
Q723685,video on demand
Q7251937,Protocol implementation conformance statement
Q72588,content delivery network
Q727490,scalability
Q7350781,megabit per second
Q739120,HTTP/2
Q746413,Elsevier BV
Q747499,RADIUS
Q749245,Autonomous System
Q75,Internet
Q752245,widescreen
Q753479,Bootstrap protocol
Q759676,task
Q7598,GNU Project
Q7603,GNU General Public License
Q762660,KeePass
Q76592,combinatorics
Q77590,civil engineering
Q777,Google Chrome
Q786900,MSISDN
Q787631,Business Process Execution Language
Q7935151,Virtual Private Cloud
Q7935239,Virtuoso Universal Server
Q79578,Google Web Toolkit
Q79686,Universal Mobile Telecommunications System
Q79692,3G
Q79697,4G
Q79703,Long Term Evolution
Q79738,gigabyte
Q79984,Ethernet
Q80131,poker
Q80535,MIDI
Q80998,firewall
Q81414,Internet protocol suite
Q816432,project manager
Q81945,Voice over IP
Q8248940,Bluetooth
Q826165,Web Ontology Language
Q831575,Ishikawa diagram
Q831677,document management system
Q8333,Federal Bureau of Investigation
Q83363,jeans
Q836575,quality assurance
Q837335,Ecma International
Q841645,Internet television
Q846564,conjunctive normal form
Q846636,software architecture
Q847,tennis
Q848609,Dagobah
Q850,MySQL
Q850661,XQuery
Q852835,customer
Q853645,Universal Disk Format
Q8539,The Big Bang Theory
Q8548,Dijkstra's algorithm
Q858810,big data
Q864693,chicken meat
Q865817,Java applet
Q869370,brute-force attack
Q869830,service-level agreement
Q870780,chatbot
Q875932,digital watermarking
Q8767,Domain Name System
Q8777,Hypertext Transfer Protocol
Q8795,Internet Protocol
Q8803,Transmission Control Protocol
Q8811,HyperText Markup Language
Q8815,ASCII
Q899288,multicast
Q899383,European Telecommunications Standards Institute
Q900647,Côte d'Opale
Q902751,pressurization
Q907375,unit testing
Q9135,operating system
Q9158,email
Q916196,Citrix Systems
Q918,Twitter
Q918141,work breakdown structure
Q9184057,CLIR
Q92438,microblogging
Q93249,antivirus software
