qid,label
Q3003763,Cross File Transfer
Q852835,customer
Q1536,Coordinated Universal Time
Q3109006,GlobeCast World TV
Q850661,XQuery
Q2053,HTML5
Q83363,jeans
Q59430415,A3: A Topology Construction Algorithm for Wireless Sensor Networks
Q422057,Institut national de recherche et de sécurité
Q230187,crosstalk
Q37501,eyeglasses
Q337594,c+c+c+c+kf60010630s
Q4007363,ITU Telecommunication Standardization Sector
Q1060165,Riot Games
Q548319,kouign-amann
Q1138866,International Commission on Non-Ionizing Radiation Protection
Q214111,packet
Q336284,MPEG-1
Q337535,Steam
Q8539,The Big Bang Theory
Q2574811,cause
Q193902,Galileo
Q622754,Asterisk
Q1115586,National Commission on Informatics and Liberty
Q38695,cooking
Q29001086,autonomous system number
Q8795,Internet Protocol
Q79697,4G
Q161618,asymmetric digital subscriber line
Q180204,shampoo
Q243,Eiffel Tower
Q2944989,Centre commun d'études de télévision et télécommunications
Q3029579,Direction interministérielle du numérique et du système d’information et de communication (DINSIC)
Q14644,spyware
Q753479,Bootstrap protocol
Q836575,quality assurance
Q93312,OSI model
Q762660,KeePass
Q1665102,Institut national de l'information géographique et forestière
Q167676,sensor
Q133215,casino
Q228493,access right
Q338978,Access Point Name_Enable
Q17130715,Slack
Q1484375,PyCharm
Q20072248,Hadoop Distributed Filesystem
Q841645,Internet television
Q1276130,extract  transform  load
Q456157,Amazon Web Services
Q721869,Reverse Address Resolution Protocol
Q152763,lithium compounds
Q5440256,Federal Information Security Management Act of 2002
Q2,Earth
Q201664,bracelet
Q831677,document management system
Q875932,digital watermarking
Q1568118,personal information manager
Q207580,Routing Information Protocol
Q485,computer virus
Q176165,database management system
Q11885120,Vorbis
Q3343549,Nordnet
Q2264109,artificial general intelligence
Q13646,SNCF
Q2551624,IPv6
Q17005322,base transceiver station
Q242506,Frame Relay
Q428933,STUN
Q280413,National Center for Scientific Research
Q166142,application
Q32110,XSLT
Q546739,Layer 2 Tunneling Protocol
Q42332,Portable Document Format
Q5329,decibel
Q191018,Session Initiation Protocol
Q30682903,data protection officer
Q276582,binary-coded decimal
Q147638,cognitive science
Q309901,open data
Q35127,website
Q392500,Agence Nationale de la Recherche
Q1425095,Ogg Tarkin
Q22907849,Discord
Q8815,ASCII
Q8333,Federal Bureau of Investigation
Q1146208,Institut National de Recherche en Informatique et en Automatique
Q392502,Agence nationale de la sécurité des systèmes d'information
Q296643,Association of Radio Industries and Businesses
Q46904,Global System for Mobile Communications
Q243697,geek
Q208160,courage
Q1288390,Label Distribution Protocol
Q4929239,data collection
Q56315412,eSIM
Q680268,World Radiocommunication Conference
Q2093,Document Object Model
Q3407658,tram
Q388,Linux
Q160453,Simple Mail Transfer Protocol
Q9340,Google Drive
Q1572577,product life-cycle management
Q2826680,National Safe Securities Agency
Q3966,computer hardware
Q324254,ontology
Q1636958,Xiaomi
Q160470,Telnet
Q18979,Kanban
Q870780,chatbot
Q54871,SPARQL
Q777,Google Chrome
Q837335,Ecma International
Q513675,pharming
Q1273376,E.Leclerc
Q2407,C++
Q1052698,jitter
Q380153,Dynamic HTML
Q869370,brute-force attack
Q49150,Remote Desktop Protocol
Q9135,operating system
Q40898,Nancy
Q1224345,differentiated services
Q515636,FIFO
Q869830,service-level agreement
Q1481411,IT service management
Q189223,Turing test
Q174320,oscilloscope
Q23572,Game of Thrones
Q79686,Universal Mobile Telecommunications System
Q2746660,Agile Manifesto
Q1369503,Estimated Time of Arrival
Q858810,big data
Q11278,Hyper-V
Q159992,surfing
Q14149,Internet Group Management Protocol
Q457396,ambient intelligence
Q2283,Microsoft
Q29120,Apache Hadoop
Q79578,Google Web Toolkit
Q55692,Active Directory
Q7096061,Open Grid Forum
Q207971,token ring
Q2078,Scalable Vector Graphics
Q135035,Data Encryption Standard
Q3105497,gigabit
Q1057712,FTPS
Q190746,Advanced Encryption Standard
Q900647,Côte d'Opale
Q185796,NTSC
Q206047,Asynchronous Transfer Mode
Q81414,Internet protocol suite
Q121416,discrete mathematics
Q5392830,encoder
Q215179,Point-to-point protocol
Q1186952,interactive media
Q53222,Digital Living Network Alliance
Q1083894,digital terrestrial television
Q188273,Ubisoft
Q341,free software
Q1537683,Google File System
Q193858,International Electrotechnical Commission
Q7935239,Virtuoso Universal Server
Q1431486,Orange
Q9367264,Office of Electronic Communication
Q1139866,Dofus
Q4173330,University of Lorraine
Q15028,International Organization for Standardization
Q1128649,H.323
Q2826642,Agence française de sécurité sanitaire de l'environnement et du travail
Q1073235,China Communications Standards Association
Q2254396,Viaccess
Q467707,software development kit
Q79738,gigabyte
Q19900,Oracle
Q215536,merchant
Q747499,RADIUS
Q59,PHP
Q1240788,supervisor
Q79984,Ethernet
Q11020,pool
Q325421,business-to-business
Q431195,IBM Db2
Q1017587,Business Objects
Q212327,Document Type Definition
Q39369,hertz
Q15618669,product owner
Q2057931,simulator
Q16876602,Cloud Security Alliance
Q392516,Agence française de sécurité sanitaire des produits de santé
Q273902,MPEG-2
Q846564,conjunctive normal form
Q92438,microblogging
Q1201019,proof of concept
Q61694,Uniform Resource Identifier
Q9184057,CLIR
Q636020,Web Accessibility Initiative
Q508256,Bastille
Q1061166,data mart
Q406655,AirDrop
Q270471,virtualization
Q268201,Wireless Markup Language
Q749245,Autonomous System
Q11422650,Kokusai Denshin Denwa
Q8811,HyperText Markup Language
Q1505049,S/MIME
Q3456896,Renater
Q3517281,Telecom Nancy
Q8548,Dijkstra's algorithm
Q2194,Windows Media Audio
Q212633,H.264/MPEG-4 AVC
Q189620,SOAP
Q21204,International Phonetic Alphabet
Q244030,Diablo III
Q254183,augmented reality
Q918,Twitter
Q916196,Citrix Systems
Q177518,IPTV
Q168403,myopia
Q1650302,RJ45
Q228327,access network
Q46441,Cascading Style Sheets
Q1091139,Enhanced Interior Gateway Routing Protocol
Q2937445,capitalization
