from,starting label,QID,label,depth,target
Q11163,User Datagram Protocol,Q290378,internet standard,1,1
Q11163,User Datagram Protocol,Q15836568,computer network protocol,1,1
Q11163,User Datagram Protocol,Q1422324,Telecommunications Management Network,2,1
Q189620,SOAP,Q15836568,computer network protocol,1,1
Q189620,SOAP,Q3359815,PPPoX,2,0
Q189620,SOAP,Q8777,Hypertext Transfer Protocol,2,1
Q189620,SOAP,Q5013874,CRFS (Coherent Remote File System),2,0
Q189620,SOAP,Q2622793,JetDirect,2,0
Q166074,Extensible HyperText Markup Language,Q317623,technical standard,1,1
Q166074,Extensible HyperText Markup Language,Q20155966,XML-based format,1,1
Q166074,Extensible HyperText Markup Language,Q2661442,W3C Recommendation,2,1
Q166074,Extensible HyperText Markup Language,Q3343904,standards of Switzerland,2,0
Q166074,Extensible HyperText Markup Language,Q39050366,construction standard,2,0
Q166074,Extensible HyperText Markup Language,Q2309650,MPEG-3,2,0
Q166074,Extensible HyperText Markup Language,Q12623246,Korean Industrial Standards,2,0
Q166074,Extensible HyperText Markup Language,Q105047548,Housing standards,2,0
Q166074,Extensible HyperText Markup Language,Q996023,directory structure,2,0
Q166074,Extensible HyperText Markup Language,Q110404686,screw thread standard,2,0
Q166074,Extensible HyperText Markup Language,Q1779838,accounting standard,2,0
Q166074,Extensible HyperText Markup Language,Q45941145,data standard,2,0
Q166074,Extensible HyperText Markup Language,Q52162337,national standard,2,0
Q166074,Extensible HyperText Markup Language,Q1091326,IT security standards,2,0
Q166074,Extensible HyperText Markup Language,Q375479,standard illuminant,2,0
Q166074,Extensible HyperText Markup Language,Q2141493,OpenPGP,2,0
Q166074,Extensible HyperText Markup Language,Q105990004,UNIX 95,2,0
Q166074,Extensible HyperText Markup Language,Q26763979,mobile phone network standard,2,0
Q166074,Extensible HyperText Markup Language,Q5570849,Global information management Metrics eXchange,2,0
Q166074,Extensible HyperText Markup Language,Q1155472,8 mm video format,2,0
